parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,mlog10p
1, zplat ,1062,AD_PGS,,-0.02,0.00479592,39584,-3.8166952,1.40E-04,-0.03,-0.01,0.05,0.00003418,0,0.00178535,0,2.748276632
1, znfasc ,961,AD_PGS,,-0.02,0.00484775,39637,-3.7921216,1.50E-04,-0.03,-0.01,0.05,0.00003418,0,0.00195398,0,2.709079886
1, zpla2g1b ,1058,AD_PGS,,0.02,0.00487546,39642,3.7786256,1.60E-04,0.01,0.03,0.05,0.00003418,0,0.00204467,0,2.689376775
1, zcd2ap ,219,AD_PGS,,0.02,0.00496886,39218,3.7735359,1.60E-04,0.01,0.03,0.05,0.00003418,0,0.00206856,0,2.684331878
1, zidua ,677,AD_PGS,,-0.02,0.0049452,39534,-3.7616373,1.70E-04,-0.03,-0.01,0.05,0.00003418,0,0.00215059,0,2.667442378
1, zfes ,532,AD_PGS,,0.02,0.00503738,38298,3.7422149,1.80E-04,0.01,0.03,0.05,0.00003418,0,0.00230387,0,2.63754203
1, zadgrg1 ,28,AD_PGS,,-0.02,0.00478584,39040,-3.7287295,1.90E-04,-0.03,-0.01,0.05,0.00003418,0,0.00240982,0,2.618015396
1, zfstl3 ,564,AD_PGS,,-0.02,0.00482639,39131,-3.7155056,2.00E-04,-0.03,-0.01,0.05,0.00003418,0,0.00251785,0,2.598970146
1, zcntn1 ,324,AD_PGS,,0.02,0.0045773,39702,3.7079661,2.10E-04,0.01,0.03,0.05,0.00003418,0,0.00257211,0,2.589710462
1, zitga11 ,760,AD_PGS,,0.02,0.00491188,39136,3.6961773,2.20E-04,0.01,0.03,0.05,0.00003418,0,0.00267203,0,2.57315867
1, zscly ,1199,AD_PGS,,-0.02,0.00484297,39419,-3.6880204,2.30E-04,-0.03,-0.01,0.05,0.00003418,0,0.00273628,0,2.562839464
1, zigfbp2 ,686,AD_PGS,,0.02,0.00479824,39646,3.6729692,2.40E-04,0.01,0.03,0.05,0.00003418,0,0.00287879,0,2.540790015
1, zil1rap ,723,AD_PGS,,0.02,0.00482037,39231,3.6705532,2.40E-04,0.01,0.03,0.05,0.00003418,0,0.00288255,0,2.540223151
1, zclps ,314,AD_PGS,,0.02,0.00497146,39165,3.6532925,2.60E-04,0.01,0.03,0.05,0.00003418,0,0.00305857,0,2.514481576
1, zvwf ,1444,AD_PGS,,-0.02,0.00492911,39702,-3.6287928,2.90E-04,-0.03,-0.01,0.05,0.00003418,0,0.00333689,0,2.47665811
1, zly96 ,863,AD_PGS,,-0.02,0.00489801,38914,-3.5950652,3.20E-04,-0.03,-0.01,0.05,0.00003418,0,0.00377026,0,2.423628699
1, zccl7 ,193,AD_PGS,,-0.02,0.00489601,39136,-3.5903032,3.30E-04,-0.03,-0.01,0.05,0.00003418,0,0.0037876,0,2.421635892
1, zitih3 ,772,AD_PGS,,0.02,0.00472267,39384,3.5897614,3.30E-04,0.01,0.03,0.05,0.00003418,0,0.0037876,0,2.421635892
1, zgrn ,622,AD_PGS,,-0.02,0.00495527,39037,-3.5854121,3.40E-04,-0.03,-0.01,0.05,0.00003418,0,0.00382146,0,2.417770682
